administration_type,government_institution,sector,project_name,project_description,gps_code,nature_of_investment,infrastructure_type,current_project_stage,sip_category,total_project_cost,br_featured,featured,financial_year,budget_phase,amount,project_slug
National,Water and Sanitation,Economic Services and Infrastructure,North West region,Construction of water supply and sanitation backlog,various,Upgrading and additions,Water supply and sanitation,Construction,SIP 18. Water and sanitation master plan,0,BR 2019,TRUE,2019,MTEF,115000000,water-and-sanitation-north-west-region
National,Water and Sanitation,Economic Services and Infrastructure,North West region,Construction of water supply and sanitation backlog,various,Upgrading and additions,Water supply and sanitation,Construction,SIP 18. Water and sanitation master plan,0,BR 2019,TRUE,2020,MTEF,212556000,water-and-sanitation-north-west-region
National,Water and Sanitation,Economic Services and Infrastructure,North West region,Construction of water supply and sanitation backlog,various,Upgrading and additions,Water supply and sanitation,Construction,SIP 18. Water and sanitation master plan,0,BR 2019,TRUE,2021,MTEF,180000000,water-and-sanitation-north-west-region
National,Water and Sanitation,Economic Services and Infrastructure,Sebokeng waste treatment works phase 1 and phase 2,Upgrading of existing wastewater treatment works,"-26.558511,27.853407",Upgrading and additions,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,1123584000,BR 2019,TRUE,2015,Audited Outcome,99786000,water-and-sanitation-sebokeng-waste-treatment-works-phase-1-and-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Sebokeng waste treatment works phase 1 and phase 2,Upgrading of existing wastewater treatment works,"-26.558511,27.853407",Upgrading and additions,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,1123584000,BR 2019,TRUE,2016,Audited Outcome,166263000,water-and-sanitation-sebokeng-waste-treatment-works-phase-1-and-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Sebokeng waste treatment works phase 1 and phase 2,Upgrading of existing wastewater treatment works,"-26.558511,27.853407",Upgrading and additions,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,1123584000,BR 2019,TRUE,2017,Audited Outcome,117567000,water-and-sanitation-sebokeng-waste-treatment-works-phase-1-and-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Sebokeng waste treatment works phase 1 and phase 2,Upgrading of existing wastewater treatment works,"-26.558511,27.853407",Upgrading and additions,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,1123584000,BR 2019,TRUE,2018,Adjusted Appropriation,140700000,water-and-sanitation-sebokeng-waste-treatment-works-phase-1-and-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Sebokeng waste treatment works phase 1 and phase 2,Upgrading of existing wastewater treatment works,"-26.558511,27.853407",Upgrading and additions,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,1123584000,BR 2019,TRUE,2019,MTEF,128684000,water-and-sanitation-sebokeng-waste-treatment-works-phase-1-and-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Sebokeng waste treatment works phase 1 and phase 2,Upgrading of existing wastewater treatment works,"-26.558511,27.853407",Upgrading and additions,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,1123584000,BR 2019,TRUE,2020,MTEF,263000000,water-and-sanitation-sebokeng-waste-treatment-works-phase-1-and-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Sebokeng waste treatment works phase 1 and phase 2,Upgrading of existing wastewater treatment works,"-26.558511,27.853407",Upgrading and additions,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,1123584000,BR 2019,TRUE,2021,MTEF,150000000,water-and-sanitation-sebokeng-waste-treatment-works-phase-1-and-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Sedibeng bulk regional sewerage,Construction of new wastewater treatment works,"-26.692133,27.831020",New infrastructure assets,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,3000000000,BR 2019,TRUE,2015,Audited Outcome,26911000,water-and-sanitation-sedibeng-bulk-regional-sewerage
National,Water and Sanitation,Economic Services and Infrastructure,Sedibeng bulk regional sewerage,Construction of new wastewater treatment works,"-26.692133,27.831020",New infrastructure assets,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,3000000000,BR 2019,TRUE,2016,Audited Outcome,44087000,water-and-sanitation-sedibeng-bulk-regional-sewerage
National,Water and Sanitation,Economic Services and Infrastructure,Sedibeng bulk regional sewerage,Construction of new wastewater treatment works,"-26.692133,27.831020",New infrastructure assets,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,3000000000,BR 2019,TRUE,2017,Audited Outcome,10078000,water-and-sanitation-sedibeng-bulk-regional-sewerage
National,Water and Sanitation,Economic Services and Infrastructure,Sedibeng bulk regional sewerage,Construction of new wastewater treatment works,"-26.692133,27.831020",New infrastructure assets,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,3000000000,BR 2019,TRUE,2018,Adjusted Appropriation,62659000,water-and-sanitation-sedibeng-bulk-regional-sewerage
National,Water and Sanitation,Economic Services and Infrastructure,Sedibeng bulk regional sewerage,Construction of new wastewater treatment works,"-26.692133,27.831020",New infrastructure assets,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,3000000000,BR 2019,TRUE,2019,MTEF,76800000,water-and-sanitation-sedibeng-bulk-regional-sewerage
National,Water and Sanitation,Economic Services and Infrastructure,Sedibeng bulk regional sewerage,Construction of new wastewater treatment works,"-26.692133,27.831020",New infrastructure assets,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,3000000000,BR 2019,TRUE,2020,MTEF,152000000,water-and-sanitation-sedibeng-bulk-regional-sewerage
National,Water and Sanitation,Economic Services and Infrastructure,Sedibeng bulk regional sewerage,Construction of new wastewater treatment works,"-26.692133,27.831020",New infrastructure assets,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,3000000000,BR 2019,TRUE,2021,MTEF,220000000,water-and-sanitation-sedibeng-bulk-regional-sewerage
National,Water and Sanitation,Economic Services and Infrastructure,Westonaria/Randfontein regional bulk wastewater treatment works (Zuurbekom),Construction of new wastewater treatment works,"-26.378582,27.654933",New infrastructure assets,Waste Water Services,Design,SIP 18. Water and sanitation master plan,1570000000,BR 2019,TRUE,2015,Audited Outcome,7104000,water-and-sanitation-westonaria-randfontein-regional-bulk-wastewater-treatment-works-zuurbekom
National,Water and Sanitation,Economic Services and Infrastructure,Westonaria/Randfontein regional bulk wastewater treatment works (Zuurbekom),Construction of new wastewater treatment works,"-26.378582,27.654933",New infrastructure assets,Waste Water Services,Design,SIP 18. Water and sanitation master plan,1570000000,BR 2019,TRUE,2016,Audited Outcome,1314000,water-and-sanitation-westonaria-randfontein-regional-bulk-wastewater-treatment-works-zuurbekom
National,Water and Sanitation,Economic Services and Infrastructure,Westonaria/Randfontein regional bulk wastewater treatment works (Zuurbekom),Construction of new wastewater treatment works,"-26.378582,27.654933",New infrastructure assets,Waste Water Services,Design,SIP 18. Water and sanitation master plan,1570000000,BR 2019,TRUE,2017,Audited Outcome,1036000,water-and-sanitation-westonaria-randfontein-regional-bulk-wastewater-treatment-works-zuurbekom
National,Water and Sanitation,Economic Services and Infrastructure,Westonaria/Randfontein regional bulk wastewater treatment works (Zuurbekom),Construction of new wastewater treatment works,"-26.378582,27.654933",New infrastructure assets,Waste Water Services,Design,SIP 18. Water and sanitation master plan,1570000000,BR 2019,TRUE,2018,Adjusted Appropriation,55500000,water-and-sanitation-westonaria-randfontein-regional-bulk-wastewater-treatment-works-zuurbekom
National,Water and Sanitation,Economic Services and Infrastructure,Westonaria/Randfontein regional bulk wastewater treatment works (Zuurbekom),Construction of new wastewater treatment works,"-26.378582,27.654933",New infrastructure assets,Waste Water Services,Design,SIP 18. Water and sanitation master plan,1570000000,BR 2019,TRUE,2019,MTEF,70000000,water-and-sanitation-westonaria-randfontein-regional-bulk-wastewater-treatment-works-zuurbekom
National,Water and Sanitation,Economic Services and Infrastructure,Westonaria/Randfontein regional bulk wastewater treatment works (Zuurbekom),Construction of new wastewater treatment works,"-26.378582,27.654933",New infrastructure assets,Waste Water Services,Design,SIP 18. Water and sanitation master plan,1570000000,BR 2019,TRUE,2020,MTEF,100000000,water-and-sanitation-westonaria-randfontein-regional-bulk-wastewater-treatment-works-zuurbekom
National,Water and Sanitation,Economic Services and Infrastructure,Westonaria/Randfontein regional bulk wastewater treatment works (Zuurbekom),Construction of new wastewater treatment works,"-26.378582,27.654933",New infrastructure assets,Waste Water Services,Design,SIP 18. Water and sanitation master plan,1570000000,BR 2019,TRUE,2021,MTEF,274214000,water-and-sanitation-westonaria-randfontein-regional-bulk-wastewater-treatment-works-zuurbekom
National,Transport,Economic,Cape Town's metro Southeast (MyCiti phase 2A),Bus rapid transport network in Cape Town,"-33.913362, 18.419422",Upgrades and additions,Public transport,Construction,SIP 7: Integrated urban space and public transport,7100000000,,TRUE,2015,Audited Outcome,0,transport-cape-towns-metro-southeast-myciti-phase-2a
National,Transport,Economic,Cape Town's metro Southeast (MyCiti phase 2A),Bus rapid transport network in Cape Town,"-33.913362, 18.419422",Upgrades and additions,Public transport,Construction,SIP 7: Integrated urban space and public transport,7100000000,,TRUE,2016,Audited Outcome,0,transport-cape-towns-metro-southeast-myciti-phase-2a
National,Transport,Economic,Cape Town's metro Southeast (MyCiti phase 2A),Bus rapid transport network in Cape Town,"-33.913362, 18.419422",Upgrades and additions,Public transport,Construction,SIP 7: Integrated urban space and public transport,7100000000,,TRUE,2017,Audited Outcome,0,transport-cape-towns-metro-southeast-myciti-phase-2a
National,Transport,Economic,Cape Town's metro Southeast (MyCiti phase 2A),Bus rapid transport network in Cape Town,"-33.913362, 18.419422",Upgrades and additions,Public transport,Construction,SIP 7: Integrated urban space and public transport,7100000000,,TRUE,2018,Adjusted Appropriation,33000000,transport-cape-towns-metro-southeast-myciti-phase-2a
National,Transport,Economic,Cape Town's metro Southeast (MyCiti phase 2A),Bus rapid transport network in Cape Town,"-33.913362, 18.419422",Upgrades and additions,Public transport,Construction,SIP 7: Integrated urban space and public transport,7100000000,,TRUE,2019,MTEF,354000000,transport-cape-towns-metro-southeast-myciti-phase-2a
National,Transport,Economic,Cape Town's metro Southeast (MyCiti phase 2A),Bus rapid transport network in Cape Town,"-33.913362, 18.419422",Upgrades and additions,Public transport,Construction,SIP 7: Integrated urban space and public transport,7100000000,,TRUE,2020,MTEF,1045000000,transport-cape-towns-metro-southeast-myciti-phase-2a
National,Transport,Economic,Cape Town's metro Southeast (MyCiti phase 2A),Bus rapid transport network in Cape Town,"-33.913362, 18.419422",Upgrades and additions,Public transport,Construction,SIP 7: Integrated urban space and public transport,7100000000,,TRUE,2021,MTEF,1433000000,transport-cape-towns-metro-southeast-myciti-phase-2a
National,Science and Technology,Economic,Square Kilometre Array,Construction of telescopes,"-33.932972, 18.470737",New other fixed structures,Radio Telescopes,Construction,SIP 16: SKA and Meerkat,10021173000,,TRUE,2015,Audited Outcome,687415000,science-and-technology-square-kilometre-array
National,Science and Technology,Economic,Square Kilometre Array,Construction of telescopes,"-33.932972, 18.470737",New other fixed structures,Radio Telescopes,Construction,SIP 16: SKA and Meerkat,10021173000,,TRUE,2016,Audited Outcome,652756000,science-and-technology-square-kilometre-array
National,Science and Technology,Economic,Square Kilometre Array,Construction of telescopes,"-33.932972, 18.470737",New other fixed structures,Radio Telescopes,Construction,SIP 16: SKA and Meerkat,10021173000,,TRUE,2017,Audited Outcome,693931000,science-and-technology-square-kilometre-array
National,Science and Technology,Economic,Square Kilometre Array,Construction of telescopes,"-33.932972, 18.470737",New other fixed structures,Radio Telescopes,Construction,SIP 16: SKA and Meerkat,10021173000,,TRUE,2018,Adjusted Appropriation,709412000,science-and-technology-square-kilometre-array
National,Science and Technology,Economic,Square Kilometre Array,Construction of telescopes,"-33.932972, 18.470737",New other fixed structures,Radio Telescopes,Construction,SIP 16: SKA and Meerkat,10021173000,,TRUE,2019,MTEF,686974000,science-and-technology-square-kilometre-array
National,Science and Technology,Economic,Square Kilometre Array,Construction of telescopes,"-33.932972, 18.470737",New other fixed structures,Radio Telescopes,Construction,SIP 16: SKA and Meerkat,10021173000,,TRUE,2020,MTEF,812139000,science-and-technology-square-kilometre-array
National,Science and Technology,Economic,Square Kilometre Array,Construction of telescopes,"-33.932972, 18.470737",New other fixed structures,Radio Telescopes,Construction,SIP 16: SKA and Meerkat,10021173000,,TRUE,2021,MTEF,856807000,science-and-technology-square-kilometre-array
National,Higher Education and Training,Social,Student Housing Infrastructure Programme: Nelson Mandela University,Student Housing Infrastructure programme,"-34.000976, 25.671476",New infrastructure assets,Student accommodation,Design,SIP 14: Higher education infrastructure,67000000,,TRUE,2015,Audited Outcome,0,higher-education-and-training-student-housing-infrastructure-programme-nelson-mandela-university
National,Higher Education and Training,Social,Student Housing Infrastructure Programme: Nelson Mandela University,Student Housing Infrastructure programme,"-34.000976, 25.671476",New infrastructure assets,Student accommodation,Design,SIP 14: Higher education infrastructure,67000000,,TRUE,2016,Audited Outcome,0,higher-education-and-training-student-housing-infrastructure-programme-nelson-mandela-university
National,Higher Education and Training,Social,Student Housing Infrastructure Programme: Nelson Mandela University,Student Housing Infrastructure programme,"-34.000976, 25.671476",New infrastructure assets,Student accommodation,Design,SIP 14: Higher education infrastructure,67000000,,TRUE,2017,Audited Outcome,0,higher-education-and-training-student-housing-infrastructure-programme-nelson-mandela-university
National,Higher Education and Training,Social,Student Housing Infrastructure Programme: Nelson Mandela University,Student Housing Infrastructure programme,"-34.000976, 25.671476",New infrastructure assets,Student accommodation,Design,SIP 14: Higher education infrastructure,67000000,,TRUE,2018,Adjusted Appropriation,33500000,higher-education-and-training-student-housing-infrastructure-programme-nelson-mandela-university
National,Higher Education and Training,Social,Student Housing Infrastructure Programme: Nelson Mandela University,Student Housing Infrastructure programme,"-34.000976, 25.671476",New infrastructure assets,Student accommodation,Design,SIP 14: Higher education infrastructure,67000000,,TRUE,2019,MTEF,33500000,higher-education-and-training-student-housing-infrastructure-programme-nelson-mandela-university
National,Higher Education and Training,Social,Student Housing Infrastructure Programme: Nelson Mandela University,Student Housing Infrastructure programme,"-34.000976, 25.671476",New infrastructure assets,Student accommodation,Design,SIP 14: Higher education infrastructure,67000000,,TRUE,2020,MTEF,0,higher-education-and-training-student-housing-infrastructure-programme-nelson-mandela-university
National,Higher Education and Training,Social,Student Housing Infrastructure Programme: Nelson Mandela University,Student Housing Infrastructure programme,"-34.000976, 25.671476",New infrastructure assets,Student accommodation,Design,SIP 14: Higher education infrastructure,67000000,,TRUE,2021,MTEF,0,higher-education-and-training-student-housing-infrastructure-programme-nelson-mandela-university
National,Higher Education and Training,Social,Student Housing Infrastructure Programme: Sefako Makgatho Health Sciences University,Student Housing Infrastructure programme,"-25.621066, 28.016895",New infrastructure assets,Student accommodation,Design,SIP 14: Higher education infrastructure,62450000,,TRUE,2015,Audited Outcome,0,higher-education-and-training-student-housing-infrastructure-programme-sefako-makgatho-health-sciences-university
National,Higher Education and Training,Social,Student Housing Infrastructure Programme: Sefako Makgatho Health Sciences University,Student Housing Infrastructure programme,"-25.621066, 28.016895",New infrastructure assets,Student accommodation,Design,SIP 14: Higher education infrastructure,62450000,,TRUE,2016,Audited Outcome,0,higher-education-and-training-student-housing-infrastructure-programme-sefako-makgatho-health-sciences-university
National,Higher Education and Training,Social,Student Housing Infrastructure Programme: Sefako Makgatho Health Sciences University,Student Housing Infrastructure programme,"-25.621066, 28.016895",New infrastructure assets,Student accommodation,Design,SIP 14: Higher education infrastructure,62450000,,TRUE,2017,Audited Outcome,0,higher-education-and-training-student-housing-infrastructure-programme-sefako-makgatho-health-sciences-university
National,Higher Education and Training,Social,Student Housing Infrastructure Programme: Sefako Makgatho Health Sciences University,Student Housing Infrastructure programme,"-25.621066, 28.016895",New infrastructure assets,Student accommodation,Design,SIP 14: Higher education infrastructure,62450000,,TRUE,2018,Adjusted Appropriation,31250000,higher-education-and-training-student-housing-infrastructure-programme-sefako-makgatho-health-sciences-university
National,Higher Education and Training,Social,Student Housing Infrastructure Programme: Sefako Makgatho Health Sciences University,Student Housing Infrastructure programme,"-25.621066, 28.016895",New infrastructure assets,Student accommodation,Design,SIP 14: Higher education infrastructure,62450000,,TRUE,2019,MTEF,31200000,higher-education-and-training-student-housing-infrastructure-programme-sefako-makgatho-health-sciences-university
National,Higher Education and Training,Social,Student Housing Infrastructure Programme: Sefako Makgatho Health Sciences University,Student Housing Infrastructure programme,"-25.621066, 28.016895",New infrastructure assets,Student accommodation,Design,SIP 14: Higher education infrastructure,62450000,,TRUE,2020,MTEF,0,higher-education-and-training-student-housing-infrastructure-programme-sefako-makgatho-health-sciences-university
National,Higher Education and Training,Social,Student Housing Infrastructure Programme: Sefako Makgatho Health Sciences University,Student Housing Infrastructure programme,"-25.621066, 28.016895",New infrastructure assets,Student accommodation,Design,SIP 14: Higher education infrastructure,62450000,,TRUE,2021,MTEF,0,higher-education-and-training-student-housing-infrastructure-programme-sefako-makgatho-health-sciences-university
National,Higher Education and Training,Social,Student Housing Infrastructure Programme: Vaal University of Technology,Student Housing Infrastructure programme,"-26.710476, 27.862468",New infrastructure assets,Student accommodation,Design,SIP 14: Higher education infrastructure,78980000,,TRUE,2015,Audited Outcome,0,higher-education-and-training-student-housing-infrastructure-programme-vaal-university-of-technology
National,Higher Education and Training,Social,Student Housing Infrastructure Programme: Vaal University of Technology,Student Housing Infrastructure programme,"-26.710476, 27.862468",New infrastructure assets,Student accommodation,Design,SIP 14: Higher education infrastructure,78980000,,TRUE,2016,Audited Outcome,0,higher-education-and-training-student-housing-infrastructure-programme-vaal-university-of-technology
National,Higher Education and Training,Social,Student Housing Infrastructure Programme: Vaal University of Technology,Student Housing Infrastructure programme,"-26.710476, 27.862468",New infrastructure assets,Student accommodation,Design,SIP 14: Higher education infrastructure,78980000,,TRUE,2017,Audited Outcome,0,higher-education-and-training-student-housing-infrastructure-programme-vaal-university-of-technology
National,Higher Education and Training,Social,Student Housing Infrastructure Programme: Vaal University of Technology,Student Housing Infrastructure programme,"-26.710476, 27.862468",New infrastructure assets,Student accommodation,Design,SIP 14: Higher education infrastructure,78980000,,TRUE,2018,Adjusted Appropriation,38680000,higher-education-and-training-student-housing-infrastructure-programme-vaal-university-of-technology
National,Higher Education and Training,Social,Student Housing Infrastructure Programme: Vaal University of Technology,Student Housing Infrastructure programme,"-26.710476, 27.862468",New infrastructure assets,Student accommodation,Design,SIP 14: Higher education infrastructure,78980000,,TRUE,2019,MTEF,40300000,higher-education-and-training-student-housing-infrastructure-programme-vaal-university-of-technology
National,Higher Education and Training,Social,Student Housing Infrastructure Programme: Vaal University of Technology,Student Housing Infrastructure programme,"-26.710476, 27.862468",New infrastructure assets,Student accommodation,Design,SIP 14: Higher education infrastructure,78980000,,TRUE,2020,MTEF,0,higher-education-and-training-student-housing-infrastructure-programme-vaal-university-of-technology
National,Higher Education and Training,Social,Student Housing Infrastructure Programme: Vaal University of Technology,Student Housing Infrastructure programme,"-26.710476, 27.862468",New infrastructure assets,Student accommodation,Design,SIP 14: Higher education infrastructure,78980000,,TRUE,2021,MTEF,0,higher-education-and-training-student-housing-infrastructure-programme-vaal-university-of-technology
